aim1,dim1,sim1,k
0,0,0,1e3
0,0,0,1e3
1,1,1,3
0,0,0,2
0,0,0,2
1,-1,1,2
1,1,1,3
1,-1,1,2
0,0,0,3
1,1,1,3
1,1,1,2
1,-1,1,1
0,0,0,1e3
1,1,7653.4,7655.4
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
0,0,0,2
1,1,1,2
0,0,0,1
0,0,0,1e3
1,1,7655.6,7655.6
1,-1,1,0
0,0,0,1e3
1,1,7654.6,7655.6
1,-1,1,1
0,0,0,1e3
1,1,7654.4,7655.4
0,0,0,1e3
1,1,7654.6,7655.6
0,0,0,1e3
1,1,7654.6,7655.6
1,1,1,1
1,-1,1,0
0,0,0,1e3
1,1,7654.4,7655.4
0,0,0,1
0,0,0,1
0,0,0,1
0,0,0,1
1,1,1,1
1,-1,1,0
0,0,0,1
1,1,1,1
1,1,1,0
0,0,0,-1
1,1,1,-1
0,0,0,1e3
1,1,7657.6,7655.6
0,0,0,-2
0,0,0,-2
0,0,0,-2
1,-1,1,-2
1,1,1,-1
0,0,0,-2
1,-1,1,-2
0,0,0,-1
0,0,0,-1
1,1,1,-1
1,-1,1,-2
1,1,1,-1
1,-1,2,-2
1,1,1,0
0,0,0,-1
1,-1,1,-1
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,-1,1,0
0,0,0,1
1,1,1,1
1,-1,1,0
0,0,0,1
1,-1,1,1
0,0,0,2
1,1,1,2
0,0,0,1
0,0,0,1
1,1,1,1
1,-1,1,0
1,1,1,1
0,0,0,0
1,-1,1,0
0,0,0,1
0,0,0,1e3
1,1,7655.6,7655.6
1,1,1,0
0,0,0,-1
1,1,1,-1
1,-1,1,-2
0,0,0,-1
1,1,1,-1
1,-1,1,-2
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,-1
1,1,1,-1
1,-1,1,-2
1,1,1,-1
0,0,0,-2
1,-1,1,-2
1,1,1,-1
1,-1,1,-2
1,-1,1,-1
1,1,1,0
1,-1,1,-1
0,0,0,0
1,1,1,0
1,-1,1,-1
0,0,0,0
1,1,1,0
1,1,1,-1
0,0,0,1e3
0,0,0,1e3
1,1,7657.8,7655.8
0,0,0,1e3
1,1,7657.8,7655.8
0,0,0,-2
1,1,1,-2
0,0,0,-3
1,-1,1,-3
0,0,0,-2
0,0,0,-2
0,0,0,1e3
1,1,7658.8,7655.8
0,0,0,-3
1,1,1,-3
1,-1,1,-4
0,0,0,-3
0,0,0,-3
1,-1,1,-3
0,0,0,-2
1,1,1,-2
0,0,0,-3
0,0,0,-3
0,0,0,-3
0,0,0,1e3
1,1,7658.8,7655.8
1,1,1,-3
0,0,0,-4
1,1,1,-4
0,0,0,-5
0,0,0,-5
1,1,1,-5
1,-1,1,-6
0,0,0,-5
0,0,0,1e3
1,1,7660.8,7655.8
1,1,1,-5
1,1,1,-6
0,0,0,1e3
1,1,7663,7656
0,0,0,-7
1,-1,1,-7
1,-1,1,-6
1,1,1,-5
0,0,0,1e3
1,1,7662,7656
0,0,0,1e3
1,1,7661.8,7655.8
1,1,1,-6
1,-1,1,-7
0,0,0,1e3
1,1,7662,7656
1,1,1,-6
0,0,0,-7
1,1,1,-7
1,-1,1,-8
1,1,1,-7
0,0,0,-8
0,0,0,-8
1,-1,1,-8
0,0,0,-7
0,0,0,-7
0,0,0,1e3
1,1,7664,7656
0,0,0,-8
1,-1,1,-8
0,0,0,-7
1,1,1,-7
1,-1,1,-8
0,0,0,-7
1,-1,1,-7
1,-1,1,-6
1,1,1,-5
0,0,0,-6
0,0,0,1e3
1,1,7662,7656
0,0,0,-6
0,0,0,1e3
1,1,7661.8,7655.8
0,0,0,1e3
1,1,7660,7656
1,1,1,-4
0,0,0,-5
1,-1,1,-5
1,-1,1,-4
1,-1,1,-3
0,0,0,1e3
0,0,0,1e3
1,1,7657.8,7655.8
0,0,0,-2
0,0,0,-2
1,-1,1,-2
0,0,0,-1
0,0,0,-1
0,0,0,-1
0,0,0,-1
1,1,1,-1
1,-1,1,-2
0,0,0,-1
1,1,1,-1
1,-1,1,-2
0,0,0,-1
1,-1,1,-1
1,1,2,0
1,-1,1,-2
1,1,1,-1
1,-1,1,-2
0,0,0,-1
0,0,0,1e3
1,1,7656.6,7655.6
0,0,0,-1
0,0,0,-1
1,1,1,-1
1,-1,1,-2
0,0,0,-1
0,0,0,-1
1,1,1,-1
0,0,0,-2
1,1,1,-2
1,1,2,-3
0,0,0,-5
0,0,0,1e3
1,1,7660.8,7655.8
0,0,0,-5
0,0,0,-5
1,-1,1,-5
0,0,0,-4
1,-1,1,-4
1,1,1,-3
0,0,0,-4
1,-1,1,-4
1,1,1,-3
0,0,0,-4
0,0,0,-4
1,-1,1,-4
1,1,1,-3
1,-1,1,-4
0,0,0,1e3
1,1,7657.8,7655.8
0,0,0,-2
0,0,0,-2
0,0,0,-2
0,0,0,1e3
1,1,7656.8,7655.8
1,1,1,-1
0,0,0,1e3
1,1,7657.8,7655.8
0,0,0,-2
0,0,0,1e3
1,1,7658.6,7655.6
1,-1,1,-3
0,0,0,-2
0,0,0,-2
0,0,0,-2
1,1,1,-2
0,0,0,1e3
1,1,7658.8,7655.8
1,1,1,-3
0,0,0,-4
0,0,0,-4
1,-1,1,-4
1,1,1,-3
0,0,0,-4
0,0,0,1e3
1,1,7658.6,7655.6
0,0,0,1e3
1,1,7659.8,7655.8
0,0,0,1e3
1,1,7659.8,7655.8
0,0,0,-4
1,1,1,-4
0,0,0,-5
0,0,0,-5
1,-1,1,-5
0,0,0,1e3
1,1,7659.8,7655.8
1,-1,1,-4
0,0,0,1e3
1,1,7658.8,7655.8
1,-1,1,-3
0,0,0,-2
0,0,0,-2
1,-1,1,-2
0,0,0,-1
1,-1,1,-1
1,1,1,0
1,-1,1,-1
1,1,1,0
0,0,0,1e3
1,1,7656.6,7655.6
1,-1,1,-1
1,-1,1,0
0,0,0,1
0,0,0,1
1,1,1,1
0,0,0,0
0,0,0,0
0,0,0,1e3
1,1,7655.6,7655.6
0,0,0,1e3
1,1,7654.6,7655.6
0,0,0,1
0,0,0,1
1,1,2,1
1,-1,1,-1
0,0,0,0
1,1,1,0
0,0,0,-1
1,-1,1,-1
0,0,0,0
0,0,0,1e3
1,1,7655.6,7655.6
0,0,0,0
1,-1,1,0
0,0,0,1
1,-1,1,1
0,0,0,1e3
1,1,7654.6,7655.6
0,0,0,1
1,-1,1,1
1,1,1,2
0,0,0,1
0,0,0,1
0,0,0,1
1,-1,1,1
1,1,1,2
1,1,1,1
1,-1,1,0
0,0,0,1e3
1,1,7655.4,7655.4
0,0,0,1e3
1,1,7655.4,7655.4
1,-1,1,0
1,1,1,1
1,-1,2,0
1,-1,1,2
1,1,1,3
0,0,0,1e3
1,1,7653.4,7655.4
0,0,0,1e3
1,1,7653.4,7655.4
1,1,1,2
1,-1,1,1
0,0,0,1e3
1,1,7653.4,7655.4
0,0,0,2
1,-1,1,2
1,1,1,3
1,-1,1,2
0,0,0,1e3
1,1,7652.2,7655.2
0,0,0,3
1,1,2,3
0,0,0,1
1,1,1,1
0,0,0,1e3
1,1,7656.4,7655.4
0,0,0,-1
1,-1,1,-1
1,1,1,0
1,-1,1,-1
0,0,0,0
0,0,0,0
1,1,1,0
1,1,1,-1
0,0,0,-2
1,-1,1,-2
0,0,0,-1
0,0,0,-1
0,0,0,1e3
1,1,7656.4,7655.4
0,0,0,-1
0,0,0,-1
1,1,1,-1
0,0,0,-2
0,0,0,-2
1,-1,1,-2
1,1,1,-1
0,0,0,-2
1,1,1,-2
1,-1,1,-3
0,0,0,-2
0,0,0,-2
0,0,0,-2
0,0,0,-2
0,0,0,-2
1,-1,1,-2
0,0,0,-1
0,0,0,-1
0,0,0,-1
1,-1,1,-1
0,0,0,1e3
1,1,7656.4,7655.4
1,1,1,-1
0,0,0,1e3
1,1,7657.2,7655.2
1,-1,1,-2
1,1,1,-1
0,0,0,-2
1,-1,1,-2
1,1,1,-1
1,1,1,-2
0,0,0,1e3
1,1,7657.2,7655.2
0,0,0,1e3
1,1,7657.4,7655.4
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
0,0,0,1e3
