time,symbol,trade_price,trade_size,trade_side
2018-10-10T17:39:38.790184Z,VX,2515,2,A
2018-10-10T17:39:39.009902Z,ES,193825,23,B
2018-10-10T17:39:39.090612Z,ES,193850,1,A
2018-10-10T17:39:39.201164Z,ES,193850,55,A
2018-10-10T17:39:39.299915Z,ES,193850,3,A
2018-10-10T17:39:39.362565Z,ES,193825,1,A
2018-10-10T17:39:40.213280Z,ES,193850,4,A
2018-10-10T17:39:40.645204Z,ES,193825,10,B
2018-10-10T17:39:40.741672Z,ES,193825,1,B
2018-10-10T17:39:40.840527Z,ES,193850,1,A
2018-10-10T17:39:41.975725Z,ES,193875,1,A
2018-10-10T17:39:42.426032Z,ES,193850,1,A
2018-10-10T17:39:43.136023Z,VX,2515,1,A
2018-10-10T17:39:43.766968Z,ES,193850,21,A
2018-10-10T17:39:44.396707Z,ES,193850,4,A
2018-10-10T17:39:45.419385Z,ES,193850,8,A
2018-10-10T17:39:46.574903Z,ES,193850,2,A
2018-10-10T17:39:47.480369Z,ES,193850,44,A
2018-10-10T17:39:48.559051Z,ES,193850,10,A
2018-10-10T17:39:49.502254Z,ES,193875,1,A
2018-10-10T17:39:50.540868Z,ES,193875,45,A
2018-10-10T17:39:51.408277Z,VX,2510,1,B
2018-10-10T17:39:51.559783Z,ES,193900,1,A
2018-10-10T17:39:52.063218Z,ES,193875,3,B
2018-10-10T17:39:52.460402Z,VX,2510,8,B
2018-10-10T17:39:53.052220Z,ES,193875,5,A
2018-10-10T17:39:53.465774Z,ES,193850,1,B
2018-10-10T17:39:53.805560Z,VX,2515,1,A
2018-10-10T17:39:54.519711Z,ES,193875,5,A
2018-10-10T17:39:54.845983Z,VX,2510,1,B
2018-10-10T17:39:55.666722Z,ES,193875,1,A
2018-10-10T17:39:56.285507Z,VX,2510,1,A
2018-10-10T17:39:56.518920Z,ES,193875,13,B
2018-10-10T17:39:56.920602Z,ES,193900,11,A
2018-10-10T17:39:57.119566Z,ES,193875,3,B
2018-10-10T17:39:57.302767Z,VX,2515,1,A
2018-10-10T17:39:57.429250Z,ES,193875,58,A
2018-10-10T17:39:58.380805Z,ES,193875,13,B
2018-10-10T17:39:58.997601Z,ES,193875,11,B
2018-10-10T17:39:59.845092Z,ES,193875,103,B
2018-10-10T17:40:00.993526Z,ES,193875,10,B
2018-10-10T17:40:01.180236Z,ES,193900,5,A
2018-10-10T17:40:01.613758Z,ES,193875,12,B
2018-10-10T17:40:02.977264Z,ES,193875,102,A
2018-10-10T17:40:03.987410Z,ES,193900,34,A
2018-10-10T17:40:04.955477Z,ES,193925,3,A
2018-10-10T17:40:05.062020Z,ES,193925,11,A
2018-10-10T17:40:05.194993Z,ES,193950,2,A
2018-10-10T17:40:05.369779Z,VX,2510,1,A
2018-10-10T17:40:05.461587Z,ES,193950,9,A
2018-10-10T17:40:06.179923Z,ES,193950,26,A
2018-10-10T17:40:06.741393Z,ES,193950,2,A
2018-10-10T17:40:07.563776Z,ES,193950,15,A
2018-10-10T17:40:07.746664Z,ES,193925,1,B
2018-10-10T17:40:07.957490Z,ES,193950,3,A
2018-10-10T17:40:08.714267Z,ES,193950,9,A
2018-10-10T17:40:09.766822Z,ES,193925,1,B
2018-10-10T17:40:10.701590Z,ES,193925,7,B
2018-10-10T17:40:11.756870Z,ES,193925,12,B
2018-10-10T17:40:12.371392Z,ES,193950,4,A
2018-10-10T17:40:12.684617Z,ES,193925,1,B
2018-10-10T17:40:13.627055Z,ES,193950,2,A
2018-10-10T17:40:13.756843Z,ES,193900,1,B
2018-10-10T17:40:14.145548Z,ES,193925,1,A
2018-10-10T17:40:15.295934Z,ES,193925,3,A
2018-10-10T17:40:15.923674Z,ES,193900,10,B
2018-10-10T17:40:16.861861Z,ES,193900,21,A
2018-10-10T17:40:17.903497Z,ES,193900,18,B
2018-10-10T17:40:18.847295Z,ES,193900,34,B
2018-10-10T17:40:19.892415Z,ES,193900,4,A
2018-10-10T17:40:20.411623Z,ES,193875,3,B
2018-10-10T17:40:21.454314Z,ES,193875,17,B
2018-10-10T17:40:21.900579Z,ES,193900,10,A
2018-10-10T17:40:23.403395Z,ES,193875,1,B
2018-10-10T17:40:24.075206Z,ES,193875,28,A
2018-10-10T17:40:24.321414Z,ES,193850,2,B
2018-10-10T17:40:25.216125Z,ES,193850,3,B
2018-10-10T17:40:25.382528Z,ES,193875,20,A
2018-10-10T17:40:26.494093Z,ES,193875,11,B
2018-10-10T17:40:27.838032Z,ES,193875,1,B
2018-10-10T17:40:29.291479Z,ES,193900,6,A
2018-10-10T17:40:29.906177Z,ES,193875,27,B
2018-10-10T17:40:31.695879Z,ES,193900,1,A
2018-10-10T17:40:32.150106Z,ES,193900,2,A
2018-10-10T17:40:32.279016Z,ES,193875,1,B
2018-10-10T17:40:32.845925Z,ES,193875,3,B
2018-10-10T17:40:33.576242Z,VX,2510,1,A
2018-10-10T17:40:35.142734Z,ES,193900,7,A
