y1,y2,v1,v2,last_es_price,pch,cut_pch
NA,NA,1,0,193825,1,1
1,NA,55,1,193850,0,0
0,1,3,55,193850,0,0
0,0,1,3,193850,-1,-1
-1,0,4,1,193825,1,1
1,-1,10,4,193850,-1,-1
-1,1,1,10,193825,0,0
0,-1,1,1,193825,1,1
1,0,1,1,193850,1,1
1,1,1,1,193875,-1,-1
NA,-1,21,0,2515,7653.4,1
NA,NA,4,21,193850,0,0
0,NA,8,4,193850,0,0
0,0,2,8,193850,0,0
0,0,44,2,193850,0,0
0,0,10,44,193850,0,0
0,0,1,10,193850,1,1
1,0,45,1,193875,0,0
NA,0,1,0,2510,7655.6,1
NA,NA,3,1,193900,-1,-1
NA,-1,5,0,2510,7654.6,1
NA,NA,1,5,193875,-1,-1
NA,-1,5,0,2515,7654.4,1
NA,NA,1,0,2510,7654.6,1
NA,NA,13,0,2510,7654.6,1
NA,NA,11,13,193875,1,1
1,NA,3,11,193900,-1,-1
NA,-1,58,0,2515,7654.4,1
NA,NA,13,58,193875,0,0
0,NA,11,13,193875,0,0
0,0,103,11,193875,0,0
0,0,10,103,193875,0,0
0,0,5,10,193875,1,1
1,0,12,5,193900,-1,-1
-1,1,102,12,193875,0,0
0,-1,34,102,193875,1,1
1,0,3,34,193900,1,1
1,1,11,3,193925,0,0
0,1,2,11,193925,1,1
NA,1,9,0,2510,7657.6,1
NA,NA,26,9,193950,0,0
0,NA,2,26,193950,0,0
0,0,15,2,193950,0,0
0,0,1,15,193950,-1,-1
-1,0,3,1,193925,1,1
1,-1,9,3,193950,0,0
0,1,1,9,193950,-1,-1
-1,0,7,1,193925,0,0
0,-1,12,7,193925,0,0
0,0,4,12,193925,1,1
1,0,1,4,193950,-1,-1
-1,1,2,1,193925,1,1
1,-1,1,2,193950,-2,-1
NA,1,1,1,193900,1,1
1,NA,3,1,193925,0,0
0,1,10,3,193925,-1,-1
-1,0,21,10,193900,0,0
0,-1,18,21,193900,0,0
0,0,34,18,193900,0,0
0,0,4,34,193900,0,0
0,0,3,4,193900,-1,-1
-1,0,17,3,193875,0,0
0,-1,10,17,193875,1,1
1,0,1,10,193900,-1,-1
-1,1,28,1,193875,0,0
0,-1,2,28,193875,-1,-1
-1,0,3,2,193850,0,0
0,-1,20,3,193850,1,1
1,0,11,20,193875,0,0
0,1,1,11,193875,0,0
0,0,6,1,193875,1,1
1,0,27,6,193900,-1,-1
-1,1,1,27,193875,1,1
1,-1,2,1,193900,0,0
0,1,1,2,193900,-1,-1
-1,0,3,1,193875,0,0
NA,0,7,0,2510,7655.6,1
NA,NA,1,7,193900,1,1
1,NA,15,1,193925,0,0
0,1,1,15,193925,1,1
1,0,1,1,193950,-1,-1
-1,1,26,1,193925,0,0
0,-1,2,26,193925,1,1
1,0,21,2,193950,-1,-1
-1,1,1,21,193925,0,0
0,-1,13,1,193925,0,0
0,0,18,13,193925,0,0
0,0,30,18,193925,0,0
0,0,1,30,193925,0,0
0,0,9,1,193925,1,1
1,0,1,9,193950,-1,-1
-1,1,1,1,193925,1,1
1,-1,3,1,193950,0,0
0,1,1,3,193950,-1,-1
-1,0,2,1,193925,1,1
1,-1,3,2,193950,-1,-1
-1,1,1,3,193925,-1,-1
-1,-1,2,1,193900,1,1
1,-1,2,2,193925,-1,-1
-1,1,1,2,193900,0,0
0,-1,2,1,193900,1,1
1,0,5,2,193925,-1,-1
-1,1,1,5,193900,0,0
0,-1,1,1,193900,1,1
1,0,6,1,193925,1,1
NA,NA,18,0,2505,7657.8,1
NA,NA,16,0,2505,7657.8,1
NA,NA,8,16,193950,0,0
0,NA,11,8,193950,1,1
1,0,7,11,193975,0,0
0,1,1,7,193975,-1,-1
-1,0,18,1,193950,0,0
0,-1,6,18,193950,0,0
NA,0,35,0,2505,7658.8,1
NA,NA,195,35,193975,0,0
0,NA,1,195,193975,1,1
1,0,1,1,194e3,-1,-1
-1,1,32,1,193975,0,0
0,-1,2,32,193975,0,0
0,0,1,2,193975,-1,-1
-1,0,47,1,193950,0,0
0,-1,1,47,193950,1,1
1,0,12,1,193975,0,0
0,1,2,12,193975,0,0
0,0,12,2,193975,0,0
NA,0,1,0,2505,7658.8,1
NA,NA,1,1,193975,1,1
1,NA,2,1,194e3,0,0
0,1,1,2,194e3,1,1
1,0,9,1,194025,0,0
0,1,7,9,194025,0,0
0,0,4,7,194025,1,1
1,0,1,4,194050,-1,-1
-1,1,2,1,194025,0,0
NA,0,19,0,2505,7660.8,1
NA,NA,2,19,194025,1,1
1,NA,87,2,194050,1,1
NA,1,19,0,2500,7663,1
NA,NA,8,19,194075,0,0
0,NA,21,8,194075,-1,-1
-1,0,5,21,194050,-1,-1
-1,-1,1,5,194025,1,1
NA,1,66,0,2500,7662,1
NA,NA,6,0,2505,7661.8,1
NA,NA,101,6,194050,1,1
1,NA,23,101,194075,-1,-1
NA,-1,3,0,2500,7662,1
NA,NA,1,3,194050,1,1
1,NA,50,1,194075,0,0
0,1,60,50,194075,1,1
1,0,9,60,194100,-1,-1
-1,1,1,9,194075,1,1
1,-1,17,1,194100,0,0
0,1,7,17,194100,0,0
0,0,13,7,194100,-1,-1
-1,0,3,13,194075,0,0
0,-1,5,3,194075,0,0
NA,0,4,0,2500,7664,1
NA,NA,2,4,194100,0,0
0,NA,2,2,194100,-1,-1
-1,0,70,2,194075,0,0
0,-1,1,70,194075,1,1
1,0,35,1,194100,-1,-1
-1,1,145,35,194075,0,0
0,-1,5,145,194075,-1,-1
-1,0,31,5,194050,-1,-1
-1,-1,2,31,194025,1,1
1,-1,3,2,194050,0,0
NA,0,2,0,2500,7662,1
NA,NA,15,2,194050,0,0
NA,0,1,0,2505,7661.8,1
NA,NA,36,0,2500,7660,1
NA,NA,3,36,194e3,1,1
1,NA,7,3,194025,0,0
0,1,6,7,194025,-1,-1
-1,0,1,6,194e3,-1,-1
-1,-1,1,1,193975,-1,-1
NA,NA,2,0,2505,7657.8,1
NA,NA,13,2,193950,0,0
0,NA,2,13,193950,0,0
0,0,1,2,193950,-1,-1
-1,0,4,1,193925,0,0
0,-1,8,4,193925,0,0
0,0,6,8,193925,0,0
0,0,15,6,193925,0,0
0,0,1,15,193925,1,1
1,0,1,1,193950,-1,-1
-1,1,9,1,193925,0,0
0,-1,3,9,193925,1,1
1,0,1,3,193950,-1,-1
-1,1,5,1,193925,0,0
0,-1,20,5,193925,-1,-1
-1,0,50,20,193900,2,1
NA,-1,1,50,193950,-1,-1
-1,NA,2,1,193925,1,1
1,-1,1,2,193950,-1,-1
-1,1,2,1,193925,0,0
NA,0,6,0,2510,7656.6,1
NA,NA,8,6,193925,0,0
0,NA,5,8,193925,0,0
0,0,5,5,193925,1,1
1,0,17,5,193950,-1,-1
-1,1,1,17,193925,0,0
0,-1,2,1,193925,0,0
0,0,1,2,193925,1,1
1,0,3,1,193950,0,0
0,1,37,3,193950,1,1
1,0,1,37,193975,2,1
NA,1,9,1,194025,0,0
NA,0,18,0,2505,7660.8,1
NA,NA,2,18,194025,0,0
0,NA,36,2,194025,0,0
0,0,18,36,194025,-1,-1
-1,0,6,18,194e3,0,0
0,-1,1,6,194e3,-1,-1
-1,0,1,1,193975,1,1
1,-1,2,1,194e3,0,0
0,1,1,2,194e3,-1,-1
-1,0,1,1,193975,1,1
1,-1,2,1,194e3,0,0
0,1,1,2,194e3,0,0
0,0,1,1,194e3,-1,-1
-1,0,1,1,193975,1,1
1,-1,3,1,194e3,-1,-1
NA,-1,57,0,2505,7657.8,1
NA,NA,10,57,193950,0,0
0,NA,4,10,193950,0,0
0,0,6,4,193950,0,0
NA,0,5,0,2505,7656.8,1
NA,NA,3,5,193925,1,1
NA,1,1,0,2505,7657.8,1
NA,NA,3,1,193950,0,0
NA,0,5,0,2510,7658.6,1
NA,NA,3,5,193975,-1,-1
-1,NA,1,3,193950,0,0
0,-1,2,1,193950,0,0
0,0,12,2,193950,0,0
0,0,62,12,193950,1,1
NA,1,25,0,2505,7658.8,1
NA,NA,2,25,193975,1,1
1,NA,12,2,194e3,0,0
0,1,1,12,194e3,0,0
0,0,2,1,194e3,-1,-1
-1,0,4,2,193975,1,1
1,-1,7,4,194e3,0,0
NA,0,1,0,2510,7658.6,1
NA,NA,3,0,2505,7659.8,1
NA,NA,13,0,2505,7659.8,1
NA,NA,1,13,194e3,0,0
0,NA,2,1,194e3,1,1
1,0,5,2,194025,0,0
0,1,1,5,194025,0,0
0,0,4,1,194025,-1,-1
NA,-1,3,0,2505,7659.8,1
NA,NA,2,3,194e3,-1,-1
NA,-1,15,0,2505,7658.8,1
NA,NA,1,15,193975,-1,-1
-1,NA,12,1,193950,0,0
0,-1,3,12,193950,0,0
0,0,38,3,193950,-1,-1
-1,0,8,38,193925,0,0
0,-1,2,8,193925,-1,-1
-1,0,13,2,193900,1,1
1,-1,1,13,193925,-1,-1
-1,1,2,1,193900,1,1
NA,1,1,0,2510,7656.6,1
NA,NA,2,1,193925,-1,-1
-1,NA,1,2,193900,-1,-1
-1,-1,33,1,193875,0,0
0,-1,21,33,193875,0,0
0,0,1,21,193875,1,1
1,0,36,1,193900,0,0
0,1,5,36,193900,0,0
NA,0,1,0,2510,7655.6,1
NA,NA,1,0,2510,7654.6,1
NA,NA,7,1,193875,0,0
0,NA,4,7,193875,0,0
0,0,1,4,193875,2,1
NA,0,16,1,193925,-1,-1
-1,NA,34,16,193900,0,0
0,-1,1,34,193900,1,1
1,0,2,1,193925,0,0
0,1,4,2,193925,-1,-1
-1,0,10,4,193900,0,0
NA,0,1,0,2510,7655.6,1
NA,NA,12,1,193900,0,0
0,NA,3,12,193900,-1,-1
-1,0,16,3,193875,0,0
0,-1,1,16,193875,-1,-1
NA,-1,6,0,2510,7654.6,1
NA,NA,5,6,193875,0,0
0,NA,15,5,193875,-1,-1
-1,0,39,15,193850,1,1
1,-1,17,39,193875,0,0
0,1,6,17,193875,0,0
0,0,3,6,193875,0,0
0,0,1,3,193875,-1,-1
-1,0,1,1,193850,1,1
1,-1,33,1,193875,1,1
1,1,1,33,193900,-1,-1
NA,-1,4,0,2515,7655.4,1
NA,NA,6,0,2515,7655.4,1
NA,NA,1,6,193900,-1,-1
-1,NA,1,1,193875,1,1
1,-1,6,1,193900,-2,-1
NA,1,6,6,193850,-1,-1
-1,NA,3,6,193825,1,1
NA,1,2,0,2515,7653.4,1
NA,NA,15,0,2515,7653.4,1
NA,NA,1,15,193850,1,1
1,NA,37,1,193875,-1,-1
NA,-1,1,0,2515,7653.4,1
NA,NA,5,1,193850,0,0
0,NA,10,5,193850,-1,-1
-1,0,2,10,193825,1,1
1,-1,3,2,193850,-1,-1
NA,-1,42,0,2520,7652.2,1
NA,NA,80,42,193825,0,0
0,NA,1,80,193825,2,1
NA,0,9,1,193875,0,0
0,NA,4,9,193875,1,1
NA,1,3,0,2515,7656.4,1
NA,NA,18,3,193925,0,0
0,NA,2,18,193925,-1,-1
-1,0,1,2,193900,1,1
1,-1,1,1,193925,-1,-1
-1,1,4,1,193900,0,0
0,-1,5,4,193900,0,0
0,0,11,5,193900,1,1
1,0,1,11,193925,1,1
1,1,2,1,193950,0,0
0,1,5,2,193950,-1,-1
-1,0,2,5,193925,0,0
0,-1,5,2,193925,0,0
NA,0,6,0,2515,7656.4,1
NA,NA,7,6,193925,0,0
0,NA,1,7,193925,0,0
0,0,152,1,193925,1,1
1,0,51,152,193950,0,0
0,1,9,51,193950,0,0
0,0,5,9,193950,-1,-1
-1,0,4,5,193925,1,1
1,-1,2,4,193950,0,0
